	first_seq	num_seqs	last_seq	sept_to_nov_freq
Australia		0		0.0
Austria		0		0.0
Belgium		0		0.0
Czech Republic		0		0.0
Denmark	2020-06-08	1379	2020-11-30	0.04
England		0		0.0
France		0		0.0
Germany		0		0.0
Hong Kong		0		0.0
Iceland		0		0.0
Ireland		0		0.0
Italy		0		0.0
Lithuania		0		0.0
Luxembourg		0		0.0
Netherlands	2020-04-25	39	2020-08-08	0.0
New Zealand		0		0.0
Northern Ireland		0		0.0
Norway		0		0.0
Portugal		0		0.0
Scotland		0		0.0
Singapore		0		0.0
Spain		0		0.0
Sweden		0		0.0
Switzerland	2020-07-07	3	2020-08-24	0.0
USA	2020-08-04	27	2020-10-07	0.0
United Kingdom		0		0.0
Wales		0		0.0
